probeset,hgnc
2,HMGB3P32
3,MAGEL2
4,PGM5P1///ZNF66P
5,PRPF38AP1///PRPF38A
6,MKLN1
7,C17orf66
8,ROBO1
9,NUDT21
10,DIS3L
11,C7orf57
12,ATF3
13,TAB3
14,GPR125
15,TTTY6B
16,SNX27
17,NDUFA9///NDUFA9P1
18,ITM2B
19,GSC
20,PVRL2
21,ZNF649
22,CLCC1///GPSM2
23,SLC35D1
24,ACCS
25,EIF3E///EIF3EP1
26,MSH5-SAPCD1///MSH5
27,DLGAP4
28,CYFIP2
29,HMGN1P36///HMGN1P30///HMGN1P38///HMGN1P26///HMGN1P11///HMGN1P37///HMGN1///HMGN1P20///HMGN1P28///HMGN1P4///CPED1///HMGN1P18///HMGN1P3///ACTN1///HMGN1P6///HMGN1P7///STIM1///HMGN1P8///HMGN1P24
32,SARDH
35,PNMA6B///PNMA6D///PNMA6A///PNMA6C
36,PRY///PRY2
37,CCDC178
40,WFIKKN1
43,MTDH
44,HHIPL2
45,SDSL
47,ARNTL
48,DOCK6
49,ACVR1C
51,DLEU2L
52,UBE4A
53,NBN
54,ARF1
55,SRCAP
56,TBC1D22A
58,C9orf139
59,VWA1
61,HMGN2P32///HMGN2P5///HMGN2P3///HMGN2P27///HMGN2P6///HMGN2///HMGN2P31///HMGN2P7///HMGN2P28///HMGN2P40///HMGN2P25///HMGN2P36///HMGN2P15///HMGN2P24///HMGN2P46///HMGN2P47///HMGN2P22///HMGN2P18///HMGN2P19
62,MIB2
63,CTSW
64,LDB2
66,ALPK2
67,TMEM155
68,MED11
69,HYDIN
70,CNTNAP4
71,DNAJC5B
72,IKBKE
73,DUSP6
74,TBC1D4
75,VPS16
76,IGHJ6
77,NDUFAF4
78,ZNF639
79,ADORA3
80,HPX
81,OIP5
82,NCR3
83,NEB
84,KCNQ1
85,CCDC121
86,LEPRE1///C4orf21///STYX///LRPAP1///DGKB///FAM184B///TRAPPC4///WDR91///GTF2IRD2///SYK///SLC35E1///SAMD8///SNF8///FXR2///ACTR3B///C1QTNF6///CUBN///YIPF4///TSPAN10///LAT2///MTHFD2///KANK1///TMEM135///SOX6///FAM73A///C1orf216///AACS///RPL30///TTC9C///CNOT10///KNTC1///C1orf63///ITIH5///TNFRSF1A///ZNF397///KDELC2///MAP3K13///DDR1-AS1///SNHG3///PGAM5///SNAPC3///TARBP1///ADCK3///FAM161A///NME6///ANXA11///NICN1///MYH11///YEATS2///GALK2///ATP6V0A2///SYNJ2///NSRP1///CCR4///C12orf65///LEPREL4///ASCC1///RNF4///C17orf103///CASC4///ADI1///DDHD2///ZNF331///POLK///CRYZL1///POU2AF1///SH2B3///PTPLAD2///CCDC90B///CD109///ZKSCAN1///CCDC120///ZSCAN2///ZNF652///NKAP///PHLDB1///IGFBP2///PEMT///PRRC2C///SMU1///JAM2///TMEM173///MATR3///CDH3///NSUN5P1///POM121///COX15///CEP78///SHFM1///SLC15A4///ZMYM6///SLC25A53///EHMT2///ZNF157///CCDC40///AP4B1///KCND3///LRRC19///PPFIBP1///MAPK9///OSTM1///DNM1///LETMD1///MTBP///UBXN7///RAB36///TMEM44///CCDC144C///KIAA0355///POLR3A///ERCC4///EIF3C///BLMH///VPS35///PTPN14///AIG1///ERBB2///RPL23///PGM2L1///SFMBT2///CFLAR///CLCC1///IRAK2///DRAXIN///CYP4F3///FUK///DDX19A///GALNT6///SV2B///LDB3///TXNL1///VPS33B///CEP57L1///RHNO1///RNF222///RABL2B///FBXO45///PRPF8///WNK3///USP9Y///ASMTL-AS1///IFT20///ABCA9///SNX29///RSPH3///DISC1///DENND6A///PCYOX1///EIF3I///RSF1///ART4///PLAT///ECT2L///MDM4///CHI3L1///MCPH1///BCAS1///NDUFS1
87,PDE4D
88,ZNF354C
89,CDK2AP1
90,DPP3
91,TMSB4XP2///TMSB4XP8///TMSB4XP6///BCAS4///TMSB4X///TMSB4XP1///TMSB4XP4
92,GP9
94,TRIM44
95,RAD54L2
96,RACGAP1
97,DGKI
99,DOCK5
100,CDC42SE1///C1orf56
101,AMIGO2
102,UGT2B28///UGT2B11///UGT2B4///UGT2B7///UGT2B10///UGT2B15///UGT2A3///UGT2B17///UGT2A1
103,VPS4A
104,GAMT
106,AP4M1
107,QSOX1
108,SUV420H1
109,ATP8B4
110,CRISP3
112,PIGN
117,PRR15
118,HERC2P7///HERC2
119,FSIP2///UGDH-AS1///TBC1D8B///BLOC1S6///ATP9B///HLA-DQA1///C12orf55///TMEM45A
120,RBMY1A3P///RBMY1HP///RBMY1J///RBMY1F///RBMY1D///RBMY1E///RBMY1A1///RBMY1B///RBMY2EP
121,ARF1
122,MYRFL
123,TREX1
125,MX1
126,VIPAS39
127,FAM83A
128,SOD1
129,ENTPD1
130,PION
131,LBP
132,ZSCAN10
133,EHD1
134,B4GALT4
135,SMG7
136,SLC1A2
137,STK3
138,IL11
139,CLDND1
140,KCNH2
141,RTKN2
144,IMP3
145,TDPX2///PRDX1
147,HOMER2
148,DAZ4///DAZ3///DAZ2///DAZ1///DAZL
151,ADH1A
152,RPL26
153,TSC22D3
155,ATP6V0D2
157,MYOF
159,KDR
160,SH3BP4
161,RUNDC3A
163,LAMTOR2
164,EIF4G2
165,DLGAP2
167,SESN1
168,KIF1B
169,MRPS11
