probeset,hgnc
?|100130426,?
?|100133144,?
?|100134869,?
?|10357,?
?|10431,?
?|136542,?
?|155060,?
?|26823,?
?|280660,?
?|317712,?
?|340602,?
?|388795,?
?|390284,?
?|391343,?
?|391714,?
?|404770,?
?|441362,?
?|442388,?
?|553137,?
?|57714,?
?|645851,?
?|652919,?
?|653553,?
?|728045,?
?|728603,?
?|728788,?
?|729884,?
?|8225,?
?|90288,?
A1BG|1,A1BG
A1CF|29974,A1CF
A2BP1|54715,A2BP1
A2LD1|87769,A2LD1
A2M|2,A2M
A2ML1|144568,A2ML1
A4GALT|53947,A4GALT
A4GNT|51146,A4GNT
AAA1|404744,AAA1
AAAS|8086,AAAS
AACS|65985,AACS
AACSL|729522,AACSL
AADAC|13,AADAC
AADACL2|344752,AADACL2
AADACL3|126767,AADACL3
AADACL4|343066,AADACL4
AADAT|51166,AADAT
AAGAB|79719,AAGAB
AAK1|22848,AAK1
AAMP|14,AAMP
AANAT|15,AANAT
AARS|16,AARS
AARS2|57505,AARS2
AARSD1|80755,AARSD1
AASDH|132949,AASDH
AASDHPPT|60496,AASDHPPT
AASS|10157,AASS
AATF|26574,AATF
AATK|9625,AATK
ABAT|18,ABAT
ABCA1|19,ABCA1
ABCA10|10349,ABCA10
ABCA11P|79963,ABCA11P
ABCA12|26154,ABCA12
ABCA13|154664,ABCA13
ABCA17P|650655,ABCA17P
ABCA2|20,ABCA2
ABCA3|21,ABCA3
ABCA4|24,ABCA4
ABCA5|23461,ABCA5
ABCA6|23460,ABCA6
ABCA7|10347,ABCA7
ABCA8|10351,ABCA8
ABCA9|10350,ABCA9
ABCB1|5243,ABCB1
ABCB10|23456,ABCB10
ABCB11|8647,ABCB11
ABCB4|5244,ABCB4
ABCB5|340273,ABCB5
ABCB6|10058,ABCB6
ABCB7|22,ABCB7
ABCB8|11194,ABCB8
ABCB9|23457,ABCB9
ABCC1|4363,ABCC1
ABCC10|89845,ABCC10
ABCC11|85320,ABCC11
ABCC12|94160,ABCC12
ABCC13|150000,ABCC13
ABCC2|1244,ABCC2
ABCC3|8714,ABCC3
ABCC4|10257,ABCC4
ABCC5|10057,ABCC5
ABCC6|368,ABCC6
ABCC6P1|653190,ABCC6P1
ABCC6P2|730013,ABCC6P2
ABCC8|6833,ABCC8
ABCC9|10060,ABCC9
ABCD1|215,ABCD1
ABCD2|225,ABCD2
ABCD3|5825,ABCD3
ABCD4|5826,ABCD4
ABCE1|6059,ABCE1
ABCF1|23,ABCF1
ABCF2|10061,ABCF2
ABCF3|55324,ABCF3
ABCG1|9619,ABCG1
ABCG2|9429,ABCG2
ABCG4|64137,ABCG4
ABCG5|64240,ABCG5
ABCG8|64241,ABCG8
ABHD1|84696,ABHD1
ABHD10|55347,ABHD10
ABHD11|83451,ABHD11
ABHD12|26090,ABHD12
ABHD12B|145447,ABHD12B
ABHD13|84945,ABHD13
ABHD14A|25864,ABHD14A
ABHD14B|84836,ABHD14B
ABHD15|116236,ABHD15
ABHD2|11057,ABHD2
ABHD3|171586,ABHD3
ABHD4|63874,ABHD4
ABHD5|51099,ABHD5
ABHD6|57406,ABHD6
ABHD8|79575,ABHD8
ABI1|10006,ABI1
ABI2|10152,ABI2
ABI3|51225,ABI3
ABI3BP|25890,ABI3BP
ABL1|25,ABL1
ABL2|27,ABL2
ABLIM1|3983,ABLIM1
ABLIM2|84448,ABLIM2
ABLIM3|22885,ABLIM3
ABO|28,ABO
ABP1|26,ABP1
ABR|29,ABR
ABRA|137735,ABRA
ABT1|29777,ABT1
ABTB1|80325,ABTB1
ABTB2|25841,ABTB2
ACAA1|30,ACAA1
ACAA2|10449,ACAA2
ACACA|31,ACACA
ACACB|32,ACACB
ACAD10|80724,ACAD10
ACAD11|84129,ACAD11
ACAD8|27034,ACAD8
ACAD9|28976,ACAD9
ACADL|33,ACADL
ACADM|34,ACADM
ACADS|35,ACADS
ACADSB|36,ACADSB
ACADVL|37,ACADVL
ACAN|176,ACAN
ACAP1|9744,ACAP1
ACAP2|23527,ACAP2
ACAP3|116983,ACAP3
ACAT1|38,ACAT1
ACAT2|39,ACAT2
ACBD3|64746,ACBD3
ACBD4|79777,ACBD4
ACBD5|91452,ACBD5
ACBD6|84320,ACBD6
ACBD7|414149,ACBD7
ACCN1|40,ACCN1
ACCN2|41,ACCN2
ACCN3|9311,ACCN3
ACCN4|55515,ACCN4
ACCN5|51802,ACCN5
ACCS|84680,ACCS
ACCSL|390110,ACCSL
ACD|65057,ACD
ACE|1636,ACE
ACE2|59272,ACE2
ACER1|125981,ACER1
ACER2|340485,ACER2
ACER3|55331,ACER3
ACHE|43,ACHE
ACIN1|22985,ACIN1
ACLY|47,ACLY
ACMSD|130013,ACMSD
ACN9|57001,ACN9
ACO1|48,ACO1
ACO2|50,ACO2
ACOT1|641371,ACOT1
ACOT11|26027,ACOT11
ACOT12|134526,ACOT12
ACOT13|55856,ACOT13
ACOT2|10965,ACOT2
ACOT4|122970,ACOT4
ACOT6|641372,ACOT6
ACOT7|11332,ACOT7
ACOT8|10005,ACOT8
ACOT9|23597,ACOT9
ACOX1|51,ACOX1
ACOX2|8309,ACOX2
ACOX3|8310,ACOX3
ACOXL|55289,ACOXL
ACP1|52,ACP1
ACP2|53,ACP2
ACP5|54,ACP5
ACP6|51205,ACP6
ACPL2|92370,ACPL2
ACPP|55,ACPP
ACPT|93650,ACPT
ACR|49,ACR
ACRBP|84519,ACRBP
ACRC|93953,ACRC
ACRV1|56,ACRV1
ACSBG1|23205,ACSBG1
ACSBG2|81616,ACSBG2
ACSF2|80221,ACSF2
ACSF3|197322,ACSF3
ACSL1|2180,ACSL1
ACSL3|2181,ACSL3
ACSL4|2182,ACSL4
ACSL5|51703,ACSL5
ACSL6|23305,ACSL6
ACSM1|116285,ACSM1
ACSM2A|123876,ACSM2A
ACSM2B|348158,ACSM2B
ACSM3|6296,ACSM3
ACSM4|341392,ACSM4
ACSM5|54988,ACSM5
ACSS1|84532,ACSS1
ACSS2|55902,ACSS2
ACSS3|79611,ACSS3
ACTA1|58,ACTA1
ACTA2|59,ACTA2
ACTB|60,ACTB
ACTBL2|345651,ACTBL2
ACTC1|70,ACTC1
ACTG1|71,ACTG1
ACTG2|72,ACTG2
ACTL6A|86,ACTL6A
ACTL6B|51412,ACTL6B
ACTL7A|10881,ACTL7A
ACTL7B|10880,ACTL7B
ACTL8|81569,ACTL8
ACTL9|284382,ACTL9
ACTN1|87,ACTN1
ACTN2|88,ACTN2
ACTN3|89,ACTN3
ACTN4|81,ACTN4
ACTR10|55860,ACTR10
ACTR1A|10121,ACTR1A
ACTR1B|10120,ACTR1B
ACTR2|10097,ACTR2
ACTR3|10096,ACTR3
ACTR3B|57180,ACTR3B
ACTR3C|653857,ACTR3C
