probeset,hgnc
48609_r_at,G2E3
48610_at,VSTM2L
48612_at,N4BP1
48613_at,GIT2
48615_at,FAM160A2
48617_at,OMA1
48619_at,TBCK
48622_at,CCDC117
48626_at,CCDC47
48628_at,STRBP
48629_s_at,STAG2
48630_r_at,STAG2
48631_at,DYX1C1-CCPG1///CCPG1
48633_at,CCPG1
48634_at,ETAA1
48640_g_at,ETAA1
48643_r_at,ETAA1
48645_at,HOOK1
48647_at,PDK4
48649_at,SMCR7L
48651_at,LMBRD1
48654_r_at,MAGEF1
48656_at,C1QTNF1
48657_at,PPP2R2D
48659_at,MIIP
48664_at,PIK3AP1
48666_at,GLIPR1
48668_at,KIAA2018
48670_at,TMBIM4
48672_at,MS4A1
48674_at,SNX20
48675_at,ARID1A
48677_at,ACVRL1
48678_at,MAN1C1
48679_at,TMEM129
48680_at,TMEM129
48684_at,KRT23
48685_at,LMLN
48690_r_at,RDH11
48691_at,NUP54
48692_at,ZBTB7A
48694_at,LIN7C
48695_at,EGFL7
48699_at,ABHD4
48700_at,AMDHD2
48702_r_at,CEP350
48705_at,LENG8
48707_at,RNF146
48708_at,DOCK7
48710_at,STARD4
48711_at,C11orf73
48712_s_at,C11orf73
48714_r_at,C11orf73
48720_at,NDNL2
48722_at,RCOR3
48723_at,CAMTA1
48726_at,COX18
48728_r_at,SP1
48729_at,SPNS1
48731_at,CCDC43
48732_at,AKT1S1
48733_at,TEFM
48734_at,C10orf35
48735_i_at,C10orf35
48736_f_at,C10orf35
48737_at,DDX59
48738_at,LONP2
48739_at,THNSL2
48741_at,XPO4
48744_g_at,TSPAN15
48746_at,TSPAN15
48749_at,FBXO30
48751_at,RASSF5
48753_at,ANGPTL4
48754_at,ARHGAP24
48756_at,SSH1
48762_r_at,ECHDC2
48763_at,TMX3
48764_at,GNA13
48765_s_at,SVIP
48766_at,ZC3H12A
48767_at,ARMCX1
48769_at,C17orf62
48770_at,UQCR10
48771_at,METTL10
48772_at,HEATR5A
48773_at,CCM2
48774_at,CTHRC1
48775_at,MORN2
48776_at,DYNLRB1
48777_at,CYSTM1
48778_at,TM7SF3
48779_at,ATAD1
48780_at,FAM210B
48782_at,FAM53C
48784_at,TMEM167A
48785_at,COPG1
48787_g_at,COPG1
48788_at,FAM107B
48789_at,TEKT4P2
48792_at,CMTM6
48793_at,RHOBTB3
48795_at,IRS2
48797_at,REG4
48798_at,SLC44A2
48799_at,NPDC1
48800_at,POLR1D
48801_at,AP5M1
48803_at,ASAP1
48804_r_at,NUS1
48806_at,SCYL1
48808_at,DHFR
48810_at,PRICKLE4///TOMM6
48814_at,KPNA4
48815_at,UFSP2
48816_g_at,UFSP2
48817_at,AIG1
48819_at,SPCS3
48820_at,APPL2
48821_at,TMEM50A
48825_at,ING4
48827_at,GINS2
48828_at,MLL3
48830_r_at,ITM2B
48832_at,NDUFA4
48833_at,MPC1
48835_s_at,OST4
48840_s_at,NAA20
48841_at,UBL5P2///UBL5
48846_s_at,C6orf48
48849_i_at,DNAJC10
48850_r_at,DNAJC10
48852_at,FAM129B
48857_at,NDUFA4L2
48858_at,SF3B5
48860_at,C14orf166
48861_at,ALKBH7
48866_at,MYOZ1
48869_g_at,ZFAS1
48872_at,EIF2A
48873_at,ERRFI1
48875_at,PACS1
48881_at,PCYOX1
48883_at,MTFR1L
48884_at,HVCN1
48894_s_at,STYXL1
48895_at,CHURC1///CHURC1-FNTB
48897_at,CHURC1
48898_at,GATAD2A
48899_at,GATAD2A
48900_at,BRWD1
48901_at,GPM6B
48902_at,KLF11
48904_at,ENTPD5
48906_at,EIF4ENIF1
48911_at,USP39
48913_at,NSFL1C
48917_at,ARRDC1
48920_at,ERVK3-1
48923_at,PFDN2
48924_r_at,STARD3NL
48926_at,RANGRF
48928_at,ECHDC1
48929_at,PPTC7
48931_at,TMED4
48933_at,WIPF2
48944_r_at,ARHGAP17
48946_at,RPL7L1///WAC-AS1
48948_i_at,MKI67IP
48951_f_at,MKI67IP
48953_at,MKI67IP
48955_at,CAPRIN2
48956_at,PALMD
48959_at,ENAH
48961_at,RLIM
48963_at,RAB25
48965_at,RAI14
48971_at,BAG3
48977_s_at,TPCN2
48983_at,WBP11
48986_r_at,ESAM
48988_at,ANAPC16
48990_at,PBRM1
48991_at,SLC44A1
48993_at,ERGIC1
48994_at,GOLPH3
48996_at,HAUS1
49000_at,CCDC53
49001_at,GLCCI1
49003_at,NDUFB10
49005_at,MYLIP
49006_s_at,TMEM2
49007_at,HSD17B12
49009_at,COL4A3BP
49011_at,GNAQ
49013_at,ECSIT
49015_at,DENR
49017_at,PPHLN1
49025_at,PYCR2
49027_at,NAA50
49030_s_at,PINK1-AS///DDOST
49032_at,IER3IP1
49036_s_at,RNF125
49038_at,NEXN
49040_at,PAPPA
49042_at,PQLC1
49044_at,PRKCE
49047_r_at,ABHD12
49049_at,DTX3
49051_g_at,DTX3
49054_at,AK3
49056_at,UBE2F
49057_g_at,UBE2F
49058_at,B3GALT6
49059_at,MARC2
49061_at,PPA2
49063_at,PIH1D1
49065_at,PIM3
49067_at,SH3BP1///PDXP
49068_at,RAB10
49071_at,NSMCE1
49073_at,UFM1
49077_at,PPME1
49080_at,TIMP2
49085_at,VPS29
49087_at,HMG20A
49090_at,CRK
49091_at,ACACA
49093_at,RIC8A
49097_at,DDAH1
49100_at,PIGT
49102_at,ADAMTS2
49110_s_at,C11orf31
49112_at,ATRAID
49135_s_at,RASGRP4
49136_at,FOXN2
49140_at,SOCS3
49141_at,MRPS22
49144_at,SUN1///GET4
49149_at,B3GAT2
49155_s_at,MRPS15
49157_at,ATP5E
49159_at,MACROD1
49167_at,FXR1
49172_at,SEC61A2
49173_at,VWA1
49175_at,EMC4
49177_at,COX20
49181_at,HM13
49183_at,FOXK1
49186_g_at,FOXK1
49188_at,MAFK
49189_g_at,MAFK
49191_at,STYXL1
49206_at,AP2A1
49207_at,FUZ
49208_at,BAZ1A
49214_s_at,ARID2
49215_s_at,PCGF3
49223_s_at,KIF5A
49233_at,ORMDL2
49235_at,GGACT
49249_s_at,C1orf21
49255_at,ECHDC1
49266_at,RRN3P3
49268_at,TMCC1
49269_at,PRPF38B
49270_at,CLUAP1
49271_at,CLUAP1
49276_at,CBLC
49280_s_at,TAF1D
49283_at,ODF3B
49285_f_at,SLC2A4RG
49288_s_at,DHX32
49289_s_at,THOC7
49293_s_at,RREB1
49295_f_at,MIR142
49304_r_at,FAM65A
49307_s_at,EPB41
49310_s_at,TMEM200B
49311_r_at,UBR5
49319_s_at,EXOSC3
49324_s_at,KANSL1L
49326_at,IRF2BP2
49329_at,KLHL22
49331_at,ZNF224
49336_s_at,CDC42SE1
49338_at,C1orf56
49352_at,CCDC126
49354_at,VDAC1
49358_at,USP13
49381_at,TANK
49382_at,WWC3
49384_at,WTIP
49386_at,TIMM22
49391_at,SLC9A8
49404_at,ST6GALNAC3
49409_i_at,RNF126P1
49414_f_at,RNF126P1
49418_at,LINC00312
49424_at,ANKRD37
49435_at,MSH5
49443_at,TBX5
49453_at,C10orf115
49468_at,HSD17B12
49484_at,NAV2-AS4
49505_at,AGBL5-AS1
49511_r_at,SPRED1
49515_at,LYST
49522_at,PRRC1
49524_at,AMMECR1
49529_at,TEPP
49538_at,NTNG1
49552_at,GLIS3
49565_at,DMRT3
49566_at,ENOPH1
49569_at,ZCCHC2
49576_f_at,NDUFC2-KCTD14///NDUFC2
49578_s_at,ZNF497
49579_at,PPP2R2C
49580_at,RNF34
49581_g_at,RNF34
49584_f_at,TAOK1
49585_at,RP9P///RP9
49587_at,GON4L
49589_g_at,GON4L
49591_at,MSTO2P///MSTO1
49593_at,GFAP
49596_g_at,GFAP
49599_at,SEMA6D
49600_at,USP42
49602_at,C16orf72
49605_g_at,C16orf72
49607_at,C9orf37
49610_g_at,C9orf37
49611_at,SLC7A1
49617_at,DDX51
49622_at,PPP1R3F
49624_at,AGAP3
49628_at,MYBBP1A
49633_at,HES6
49640_s_at,METTL9
49649_at,PTPMT1
49651_at,FOXO3
49664_s_at,C11orf96
49671_at,MALAT1
49673_at,ZNF692
49677_g_at,ZNF692
49679_s_at,MMP24-AS1
49686_s_at,VAMP8
49688_at,ZRANB1
49690_at,ISYNA1
49695_i_at,RNF169
49697_f_at,RNF169
49698_at,HCN3
49700_at,SLC2A4RG
49702_g_at,SLC2A4RG
49704_s_at,ZBTB46
49706_r_at,LGALS8
49728_s_at,CERCAM
49730_at,EFNA5
49736_g_at,TAF6L
49744_at,TMEM165
49746_at,FAM177A1
49749_at,UBXN6
49751_at,ARL6IP6
49754_s_at,SFT2D1
49756_at,MTFP1
49764_g_at,MTFP1
49765_at,NAV2-AS1
49767_g_at,NAV2-AS1
49769_at,SGTB
49771_s_at,TRAPPC13
49774_r_at,TRAPPC13
49777_at,FAM46A
49779_at,CSRP2BP///PET117
49791_s_at,CAMK2N2
49794_s_at,ECE2
49796_at,NRIP3
49798_at,DOCK6
49807_at,SLC2A2
49809_s_at,RWDD2B
49811_s_at,SLC25A37
49813_at,CRLS1
49814_at,PLGLB1
49821_s_at,HRASLS
49825_at,AKAP12
49827_s_at,FAM69B
49831_at,PIK3R5
49833_at,SLMO2
49845_at,GPR12
49861_at,RRP15
49877_at,FTO-IT1
49889_at,DLC1
49897_at,ZFC3H1
49917_at,ZNF827
49919_at,USP53
49923_at,HELZ
49924_at,USB1
49926_at,DNAH14
49934_at,ATP1B3
49938_at,SLC35E1
49956_at,AEBP2
49958_at,KIF13A
49960_at,KCNQ1OT1
49966_at,TRPC5
49983_r_at,PRR3
49999_at,ANKRD18DP
50000_at,KRT82
50002_at,THY1
50006_at,SNX25
50015_at,PSMD13
50025_at,HIST1H4H
50035_at,ST8SIA1
50046_at,BRWD3
50048_at,CD28
50050_at,ZNF423
50056_at,PTCHD1
50058_at,CPED1
50062_at,UQCRB
50080_at,SLC9B2
50082_at,MSI2
50084_at,DYNC1H1
50090_at,CRELD1
50101_f_at,CLN6
50104_at,MED26
50109_at,SNX14
50111_r_at,ZDHHC22
50123_at,MTPAP
50127_g_at,MTPAP
50144_at,ANAPC7
50150_s_at,WDR4
50152_s_at,B3GNT9
50153_at,ZBTB26
50156_at,NXF3
50160_at,KCTD5
50164_at,CPSF3L
50170_s_at,SRGAP2C///SRGAP2
50171_s_at,DDX54
50175_s_at,CCDC42B
50178_at,SAPCD1-AS1
50181_g_at,SAPCD1-AS1
50183_at,MSH5///MSH5-SAPCD1///SAPCD1
50186_s_at,MUM1
50199_s_at,RGCC
50202_s_at,TMEM140
50204_at,KANK4
50206_at,C3orf17
50208_at,C1orf56
50215_g_at,C1orf56
50217_at,CDC42SE1
50222_at,RAD23A
50224_s_at,TIMM22
50225_s_at,YPEL2
50226_at,SLC33A1
50227_s_at,FOXH1
50232_at,SAMD1
50234_r_at,MLXIPL
50236_at,MRPL35
50241_at,PAX8
50270_at,ZNF493
50272_at,GABRB3
50286_at,DCC
50304_at,RGSL1
50310_at,PARP8
50342_at,LINC00705
50345_at,B4GALNT3
50348_at,FAM110B
50351_at,CCDC79
50369_at,TNRC18
50384_s_at,PHF20
50386_at,CEP95
50399_at,NCS1
