probeset,hgnc
67026_at,NFASC
67028_at,MLL3
67030_at,SLC6A17
67038_at,CISD1
67040_at,ENPP6
67042_at,SLC32A1
67046_at,THNSL2
67050_at,TOM1L1
67055_at,ADAL
67062_r_at,AP1S3
67082_at,CCDC157
67086_at,FPGT-TNNI3K///TNNI3K
67089_at,C16orf88
67097_at,NGRN
67099_at,GATA3-AS1
67100_at,MIR15A///DLEU2
67103_at,PWRN2
67115_at,OPRL1
67117_at,PKD2
67121_r_at,EMC2
67148_at,CYP4F8
67158_at,SNHG5
67161_at,C15orf38
67163_at,GRPEL1
67167_at,RAD51B
67169_at,ADCY1
67171_at,NDUFAF6
67173_at,DBNL
67175_at,YME1L1
67186_at,MAP4
67197_r_at,CLDN18
67202_f_at,XPNPEP3
67204_at,BRSK1
67220_at,FRYL
67222_at,KRR1
67224_at,IBA57
67226_at,TFDP1
67232_at,ZNF208
67241_at,NAAA
67246_at,G3BP2
67248_at,MAGI1
67249_at,SRSF11
67252_r_at,FAM135B
67256_at,YWHAG
67265_at,MARK1
67274_at,TIAM2
67279_at,PPA2
67280_at,B3GNT5
67284_r_at,BIRC6
67286_r_at,UCKL1///ZNF512B
67288_at,RHOJ
67289_g_at,RHOJ
67311_at,RBM27
67317_r_at,TLR2
67319_at,ABHD13
67329_at,NABP1
67335_r_at,EIF4ENIF1
67343_at,GFM1
67346_at,DTNBP1
67348_at,MLL3
67359_i_at,METTL2A///METTL2B
67367_at,VPS53
67387_at,SLC1A4
67390_at,C2orf68
67393_at,PNPLA7
67396_at,ZNF425
67402_at,SPOPL
67420_s_at,FAM161B
67423_at,FAM161B
67429_r_at,NACC1
67440_r_at,C2orf54
67446_i_at,LTBR
67457_at,MAP4
67459_at,TMIE
67461_at,CHIC2
67475_at,LIG1
67477_at,TDRD1
67489_at,UBE3B
67498_at,ODF4
67500_at,INTS1
67502_at,MIR1185-1
67510_at,DAAM1
67516_at,LOXHD1
67520_at,ANKHD1///ANKHD1-EIF4EBP3
67533_at,BACE1
67538_r_at,CXADR
67540_at,MDGA1
67550_at,HEG1
67564_at,SFXN1
67568_at,TCEA3
67588_at,UBQLN4
67590_at,NIPBL
67597_at,ZSWIM6
67599_at,ZBTB38
67602_at,WDR44
67623_at,ZNF324B
67624_at,CATSPERG
67629_at,CD22
67633_at,MICALCL
67641_at,ADAMTSL5
67643_at,AMER3
67649_at,SCUBE1
67650_at,SEMA3D
67652_at,NEDD4L
67668_at,FBXO27
67670_at,ALG13
67673_at,ANKRD42
67680_at,OGFOD3
67685_r_at,SNORD114-29
67688_r_at,ZNF524
67690_at,ACOX1
67691_at,PARP4
67709_at,MUC20
67711_s_at,SERPINB9
67715_s_at,PPP6R3
67720_at,ITSN1
67722_at,UBASH3B
67726_at,MKNK1
67727_at,AKAP8L
67731_r_at,MIS18BP1
67735_at,SLC30A7
67740_at,CCNL2
67742_at,TNS4
67750_at,SIRT7///MAFG
67752_at,MSI2
67753_at,CENPVP2///CENPVP1
67762_at,CXorf28
67775_at,BPTF
67779_at,SSPN
67783_at,FAM19A4
67800_f_at,TCL6
67830_at,ZNF445
67831_at,THADA
67833_at,HOXD10
67846_at,RNF213
67853_at,GGNBP2
67856_at,CDYL
67858_at,ARFGEF2
67859_s_at,ZNF106
67861_at,ZNF106
67874_at,LRRC43///B3GNT4
67879_at,ZC3H12D
67881_at,RAF1
67883_at,NUP107
67891_f_at,CHL1
67909_at,IKBKG
67913_at,NFAT5
67923_at,RPL13AP20
67926_s_at,TBC1D8
67939_at,AKT1
67941_at,PRUNE2
67956_at,APBB2
67964_at,RAPGEF6
67974_at,PAIP1
68009_at,CACTIN
68013_at,PATE2
68016_at,BTNL8
68018_r_at,SYTL2
68022_at,C11orf49
68024_at,UBQLN3
68034_at,LINC00533
68036_i_at,PCYT2
68038_r_at,PCYT2
68047_at,RNF213
68055_at,ARPP21
68060_at,ANAPC5
68062_at,SLX4IP
68065_at,TRMT10A
68073_at,CAMK2G
68089_r_at,ZXDA
68093_at,ZBTB47
68113_at,LINS
68123_at,EPS15
68127_at,KLF3
68135_at,NPAS3
68143_at,SUPT16H
68145_at,TRAK1
68152_at,GSTO1
68153_at,MOSPD2
68166_at,ZNF451
68168_at,AWAT2
68170_r_at,CDC23
68184_at,SLTM
68195_at,CAMK4
68199_at,TCEANC2
68202_at,FRMD4B
68205_at,UFD1L
68210_at,HECTD1
68234_r_at,PPP1CB
68242_at,ZDHHC11///ZDHHC11B
68255_at,LMO7
68268_at,ITPR1-AS1
68281_s_at,HECTD4
68283_r_at,HECTD4
68290_at,TEAD3
68294_at,USP30
68304_at,KCNK7
68310_at,AP1S3
68314_at,PIGB
68318_at,TRBVB
68321_at,WBSCR16
68324_at,RAB27A
68329_at,SULF1
68331_at,SEMA4D
68340_at,ZNF333
68359_at,RPL37
68361_at,DDAH1
68368_at,SCUBE2
68374_at,SMU1
68382_at,BPNT1
68386_at,USP10
68393_at,MIR4429
68395_at,ANXA2
68400_at,PDE3A
68402_at,ACTL10
68404_at,LINC00595
68407_at,SEMA6D
68445_at,TSC22D4
68468_at,FNIP2
68470_at,POGZ
68473_g_at,POGZ
68481_at,TBC1D2B
68487_at,CCDC168
68492_at,PPP1R9A
68493_r_at,EEF1A1
68511_at,COMT
68512_at,WDR24
68514_at,NOXO1
68528_r_at,ATP5F1
68559_at,SLC16A4
68561_g_at,SLC16A4
68562_at,GALNT5
68583_at,PAPOLB
68585_at,LINC00229
68587_at,SLC12A7
68593_at,SLC2A3
68595_at,KLF8
68603_at,GRB10
68606_at,GATAD2B
68619_at,LINC00415
68623_at,OSBP
68626_at,GPD2
68629_at,LINC00689
68638_at,TM4SF19-AS1
68640_g_at,TM4SF19-AS1
68642_at,TM4SF19
68667_at,ATP6V1C1
68669_at,ZNF334
68674_at,CEP192
68689_at,TTLL10
68693_at,LBX2-AS1
68705_at,NSD1
68707_at,ABAT
68715_at,VPS37B
68728_g_at,FAM122C
68747_at,CENPK
68759_at,FRMPD2P2///FRMPD2///FRMPD2P1
68763_at,AFAP1L2
68766_at,PDXK
68768_at,ATAD5
68789_at,KIAA1524
68795_r_at,STARD3///TCAP
68803_at,TRA2B
68805_f_at,SNRNP200
68807_at,RNF150
68813_at,BNIPL
68817_at,UGGT2-IT1
68821_at,ZFAND4
68823_at,POLG
68825_at,QSER1
68830_at,U2AF1
68833_r_at,MIR4712
68851_at,UBXN7
68853_at,PCBP3
68856_r_at,CIT
68858_at,ICA1L
68860_at,ZNF532
68868_at,KCTD1
68870_at,TMEM161B
68871_r_at,THEM4
68887_at,SLFN13
68889_at,RINT1
68894_at,ZNF644
68897_at,ZMYM6
68900_at,RGL3
68907_at,TTPA
68909_at,CA8
68913_at,SCARB1
68916_at,SIGLEC11
68918_at,NCAPG
68940_at,PLEKHG1
68956_at,ALDH7A1
68960_at,SMG7-AS1
68970_at,ZNF568
68972_at,CREB1
68975_at,RNF207
68976_at,MYH10
68979_g_at,MYH10
68982_r_at,RGL3
68984_at,KCNE3
68986_at,KCNE3
68989_at,ATP1B4
68995_at,NHEJ1///SLC23A3
69003_at,ZNF207
69014_at,CEP63
69016_at,OGFR-AS1
69031_at,LIN7B
69033_g_at,LIN7B
69043_r_at,ZNF577
69045_r_at,MARK3
69048_at,GMPS
69050_g_at,GMPS
69056_i_at,TMEM254-AS1
69069_at,TPT1-AS1
69071_at,RPS6KL1
69073_at,SRD5A3
69082_at,PRKACA
69084_at,OR7E14P
69091_at,PAPOLG
69099_at,CCDC93
69103_at,ARHGAP8
69106_at,SEPT6
69130_f_at,KANSL1L
69132_r_at,KANSL1L
69134_at,KANSL1L
69136_at,SLFNL1
69142_at,ZC3HAV1
69146_at,SNORD113-3
69148_s_at,PCGF2
69159_at,ZNF346
69161_at,C11orf95
69170_at,OLIG3
69180_at,PCBP1-AS1
69191_at,CTXN2
69195_at,ACTR3
69197_r_at,HMGN2P46
69207_at,SIRPG
69208_at,STK4-AS1
69212_f_at,CTU1
69217_at,FBN3
69222_at,EIF4G1
69224_at,HMGA2
69232_r_at,TMEM192
69234_at,SDHAP1
69237_at,MNT
69240_s_at,WDR4
69243_r_at,WDR4
69244_at,ADAT2
69247_at,RPL7
69272_at,VRTN
69274_at,IFT27
69280_at,LRRIQ1
69284_at,MFN1
69288_at,MPHOSPH9
69290_at,MIR9-2///LINC00461
69292_at,FAM162A
69299_at,LMBRD2
69300_at,KAT2B
69302_at,SESN3
69322_at,ZNF576
69323_at,ZMAT3
69325_at,PELO
69327_at,ADM2
69329_at,RHBDD1
69335_at,FGF9
69337_at,ADORA2A-AS1
69339_at,XRRA1
69344_r_at,RUFY1
69346_at,OFD1
69348_g_at,OFD1
69349_at,GDF11
69362_at,EXOG
69367_at,GDI2
69370_at,MAN2C1
69376_at,RPL12
69383_r_at,ACVR1
69387_at,TANGO6
69393_at,MANEA
69406_at,PLEKHA5
69408_at,AARS2
69410_at,MPP7
69411_at,KCNK13
69414_at,TMTC3
69418_at,RBFA
69426_at,RBP1
69431_at,P2RY13
69439_at,C20orf195
69441_at,FGF14
69443_at,ARHGAP24
69446_at,SLC34A1
69449_r_at,RAB3D
69451_at,FAM47B
69459_at,ENO1
69462_at,C16orf98
69464_at,CARS
69468_at,SVIP
69470_at,ERICH1
69472_r_at,ACSM2B///ACSM2A
69473_r_at,RELN
69475_at,MCM10
69477_at,CEP104
69481_r_at,ZNF708
69482_at,SETD5
69486_at,ZNF182///ZNF630
69487_at,SLC4A7
69489_at,GNAO1
69493_r_at,PHACTR4
69495_at,ZDHHC2
69499_at,PLSCR4
69505_at,PRRC2B
69507_at,PVT1
69510_at,ZNF638
69516_at,ASAP1
69518_at,SIN3A
69520_at,HLA-DPB2
69530_at,CD38
69533_at,NKX2-1-AS1
69537_at,TNFAIP8L3
69538_at,CARS2
69543_at,HAX1
69553_at,CFL1P1
69556_at,TTC40
69563_at,AQP2
69566_at,ARFGAP2
69568_at,TBL2
69578_at,BRCA1
69584_at,ANKRD11
69586_f_at,ANKRD11
69596_at,UNKL
69600_at,PDGFD
69619_at,PARP9
69620_at,PBX1
