probeset,hgnc
7892501,SNORD58B///RPL17-C18orf32///RPL17
7892508,RNPS1
7892509,HSP90AB1
7892512,JTB
7892514,CANX
7892519,RPL18
7892520,RPS13
7892521,JTB
7892524,HNRNPM
7892527,NPM1
7892530,NPM1P6///NPM1P22///NPM1
7892532,CTDNEP1
7892536,SNORD18A///RPL4
7892537,SMNDC1
7892538,CTDNEP1
7892541,RPL27
7892542,PRPF8
7892544,SART1
7892548,JTB
7892549,SMNDC1
7892555,TARDBP
7892556,HNRNPA1P7///HNRNPA1P4///HNRNPA1P10///HNRNPA1L2///HNRNPA1///HNRNPA1P33///HNRNPA1P8
7892561,ATP6V0E1P2///ATP6V0E1
7892562,SART3
7892564,OAZ1
7892565,USP22
7892566,KAT7
7892567,C22orf28
7892568,HNRNPD
7892569,CNPPD1
7892574,GDI2
7892575,TARDBP
7892579,RPL10A
7892583,KXD1
7892585,FNTA
7892591,C1D
7892596,SNRNP200
7892598,NARS
7892599,NONO
7892600,NARS
7892605,SEPT2
7892609,ABCF1
7892610,SNORD58B///RPL17-C18orf32///RPL17
7892618,KARS
7892620,USP22
7892621,HNRNPC
7892622,ILF2
7892623,GATC
7892625,CNPPD1
7892627,SPAG7///CAMTA2
7892628,EIF3FP3///EIF3FP1///EIF3F
7892630,GDI2P2///GDI2P1///GDI2
7892633,HNRNPM
7892634,ANAPC5
7892635,SART3
7892637,EIF3F
7892638,CANX
7892639,NONO
7892640,SNORD18B///RPL4P4///RPL4
7892642,NONO
7892643,RPS7P1///RPS7P11///RPS7
7892644,HNRNPM
7892645,ERH
7892648,ATP6V1G2-DDX39B///DDX39B
7892650,RPL35
7892651,CANX
7892652,HSP90AB1
7892654,DEFB108P3///DEFB108P4///DEFB108P2///DEFB108P1
7892655,PRPF8
7892657,IK
7892661,ATP6V0B
7892662,CNPPD1
7892663,DAD1
7892668,FNTA
7892669,FNTA
7892670,SART1
7892674,RNPS1P1///RNPS1
7892676,SNORD18A///SNORD16///RPL4
7892678,SNRNP200
7892679,SEPT2
7892680,RPL21P28///RPL21P39///RPL21P1///RPL21P134///RPL21P116///RPL21P2///RPL21P75///RPL21P120
7892681,GUK1
7892682,RPL24
7892683,SNORD117///DDX39B
7892684,SEPT2
7892685,USP22
7892688,RPL28
7892693,RNPS1
7892694,USP22
7892699,CBX3
7892701,CFL1
7892702,NPM1
7892703,SPAG7
7892704,DAD1
7892708,ILF2
7892710,NARS
7892713,RNPS1
7892717,RPS27A
7892732,NARS
7892742,NARS
7892745,IK
7892747,SNRNP200
7892753,SNORD114-13///DNMT1
7892757,C22orf28
7892758,TAF10///TPP1
7892761,KXD1
7892762,EIF4G2
7892764,PRPF8
7892766,TAF10///TPP1
7892770,SNX3
7892771,KAT7
7892772,HNRNPM
7892773,SEPT2
7892775,ANAPC5
7892776,EIF3FP3///EIF3F
7892778,RPL10AP6///RPL10AP2///RPL10A
7892786,ZNF259
7892787,IK
7892788,USP22
7892789,EIF3D
7892791,C11orf58
7892797,LIAS
7892799,TMED2
7892802,FNTA
7892803,RPL6///RPL6P27
7892806,HNRNPC
7892807,SART3
7892808,DPH2///ATP6V0B
7892814,CBX3P9///CBX3
7892817,RPL18
7892820,RPL9P9///RPL9P8///RPL9P7///RPL9
7892829,DDX5
7892830,MIR3620///ARF1
7892831,SNORD58C///RPL17P37///RPL17P17///RPL17P44///RPL17P20///RPL17P26///RPL17P41///RPL17P22///RPL17-C18orf32///RPL17///RPL17P43
7892832,HNRNPD
7892835,RPS5
7892836,ATP6V0E1
7892837,USP22
7892838,HNRNPD
7892841,CTDNEP1
