probeset,hgnc
A28102_at,GABRA3
AB000114_at,OMD
AB000115_at,IFI44L
AB000220_at,SEMA3C
AB000381_s_at,GML
AB000409_at,MKNK1
AB000410_s_at,OGG1
AB000449_at,VRK1
AB000450_at,VRK2
AB000460_at,FAM193A
AB000462_at,SH3BP2
AB000464_at,NOP14-AS1
AB000466_at,NOP14-AS1
AB000467_at,NOP14
AB000468_at,RNF4
AB000584_at,GDF15
AB000816_s_at,ARNTL
AB000895_at,DCHS1
AB000896_at,PCDHGB4
AB000897_at,PCDHGA12
AB000905_at,HIST1H4I
AB001106_at,GMFB
AB001325_at,AQP3
AB002314_at,FRMPD4
AB002315_at,KIAA0317
AB002318_at,TLN2
AB002332_at,CLOCK
AB002356_s_at,MADD
AB002365_at,PRUNE2
AB002366_at,KIAA0368
AB002380_at,ARHGEF12
AB002382_at,CTNND1
AB002409_at,CCL21
AB002533_at,RPLP2
AB002559_at,STXBP2
AB003102_at,PSMD11
AB003103_at,PSMD12
AB003177_at,PSMD9
AB003698_at,CDC7
AB004884_at,TLK2P1///TLK2
AB005535_s_at,CLOCK
AB006190_at,AQP7
AB006781_s_at,LGALS4
AB006782_at,LGALS9///LGALS9C
AC000061_cds3_at,CFTR
AC000063_s_at,SEMA3F
AC000064_cds1_at,GATAD1
AC000064_cds2_at,PEX1
AC000066_at,AKAP9
AC000099_at,GRM8
AC000115_cds1_at,VGLL1
AC002045_xpt1_at,PDXDC2P///NPIP///NPIPP1
AC002045_xpt2_s_at,PDXDC2P///NPIPL3///NPIP
AC002073_cds1_at,PIK3IP1
AC002076_cds2_at,GNGT1
AC002086_at,ZBTB33
AC002115_cds1_at,COX6B1
AC002115_cds3_at,ETV2
AC002115_cds4_at,UPK1A
AC002115_rna2_at,RBM42
AC002450_at,SLC25A13
AC002464_at,SLC22A16
AC002477_s_at,RNF113A
AC002486_at,ABCB5
AD000092_cds1_at,MAST1
AD000092_cds2_at,DNASE2
AD000092_cds7_s_at,RAD23A
AD000684_cds1_at,LSR
AD001527_cds1_at,OVOL3
AF000177_at,LSM1
AF000231_at,RAB11A
AF000234_at,P2RX4
AF000424_s_at,LST1
AF000430_at,DNM1L
AF000545_at,P2RY10
AF000560_at,ZNF787
AF000562_at,UPK2
AF000573_rna1_at,HGD
AF000959_at,CLDN5
AF001294_at,PHLDA2
AF001359_f_at,MLH1
AF001548_rna1_at,MYH11
AF001620_at,MYOC
AF001787_s_at,UCP3
AF002020_at,NPC1
AF002224_at,UBE3A
AF002700_at,GFRA2
AF003743_at,KCNQ1
AF005037_at,SCAMP1
AF005043_at,PARG
AF005361_at,KPNA5
AF005775_at,CFLAR
AF005887_at,ATF6
AF006041_at,DAXX
AF006084_at,ARPC1B
AF006087_at,ARPC4
AF006609_at,RGS3
AF007111_at,MDM4
AF007551_at,BET1
AF007875_at,DPM1
AF008445_at,PLSCR1
AF008937_at,STX16
AF009301_at,MARCH6
AF009368_at,CREB3
AF009426_at,LDLRAD4
AF009674_at,AXIN1
AF010193_at,SMAD7
AF012024_s_at,ITGB1BP1
AF012270_at,RRH
AF014958_at,CCRL2
AF015913_at,PRMT5
AF015950_at,TERT
AFFX-HSAC07/X00351_3_at,ACTB
AFFX-HSAC07/X00351_5_at,ACTB
AFFX-HSAC07/X00351_M_at,ACTB
AFFX-HUMGAPDH/M33197_3_at,GAPDH
AFFX-HUMGAPDH/M33197_3_st,IFFO1
AFFX-HUMGAPDH/M33197_5_at,GAPDHP1///GAPDH
AFFX-HUMGAPDH/M33197_5_st,IFFO1
AFFX-HUMGAPDH/M33197_M_at,GAPDHP1///GAPDH
AFFX-HUMGAPDH/M33197_M_st,IFFO1
AFFX-HUMISGF3A/M97935_3_at,STAT1
AFFX-HUMISGF3A/M97935_5_at,STAT1
AFFX-HUMISGF3A/M97935_MA_at,STAT1
AFFX-HUMISGF3A/M97935_MB_at,STAT1
AFFX-HUMTFRR/M11507_3_at,TFRC
AFFX-HUMTFRR/M11507_5_at,TFRC
AFFX-HUMTFRR/M11507_M_at,TFRC
AJ000099_s_at,HYAL2
AJ000480_at,TRIB1
AJ001047_at,MATN3
AJ001421_at,RER1
D00003_s_at,CYP3A4
D00017_at,ANXA2
D00097_s_at,APCS
D00408_at,CYP3A7
D00408_s_at,CYP3A5///CYP3A7///CYP3A4
D00591_at,RCC1
D00596_at,TYMS
D00632_at,GPX3
D00654_at,ACTG2
D00723_at,GCSHP5///GCSH
D00726_at,FECH
D00749_s_at,CD7
D00760_at,PSMA2
D00761_at,PSMB1
D00762_at,PSMA3
D00763_at,PSMA4
D00860_at,PRPS1
D10040_at,ACSL1
D10202_at,PTAFR
D10326_s_at,PKLR
D10495_at,PRKCD
D10511_at,ACAT1
D10522_at,MARCKS
D10523_at,OGDH
D10537_s_at,MPZ
D10656_at,CRK
D10667_s_at,MYH11
D10704_at,CHKA
D10922_s_at,FPR2
D10923_at,HCAR2///HCAR3
D10925_at,CCR1
D10995_at,HTR1B
D11086_at,IL2RG
D11094_at,PSMC2
D11151_at,EDNRA
D11327_s_at,PTPN7
D11428_at,PMP22
D12485_at,ENPP1
D12620_s_at,CYP4F3///CYP4F2
D12625_at,NF1
D12676_at,SCARB2
D12686_at,EIF4G1
D12763_at,IL1RL1
D12775_s_at,AMPD3
D13118_at,ATP5G1
D13146_cds1_at,CNP
D13168_at,EDNRB
D13264_at,MSR1
D13305_at,CCKBR
D13315_at,GLO1
D13370_at,APEX1
D13413_rna1_s_at,RPL24
D13435_at,PIGF
D13540_at,PTPN11
D13626_at,P2RY14
D13627_at,CCT8
D13628_at,ANGPT1
D13630_at,BZW1
D13631_s_at,ARHGEF6
D13633_at,DLGAP5
D13634_at,MTFR1
D13635_at,UBE3C
D13636_at,MPV17///GTF3C2
D13637_at,TLR1
D13638_s_at,ARHGAP11A
D13639_at,CCND2
D13640_at,PPM1F
D13641_at,TOMM20
D13642_at,SF3B3
D13643_at,DHCR24
D13644_at,USP6NL
D13645_at,KIAA0020
D13666_s_at,POSTN
D13705_s_at,CYP4A11///CYP4A22
D13720_s_at,ITK
D13748_at,SNORA67///EIF4A1P7///EIF4A1///EIF4A1P10
D13789_at,MGAT3
D13814_s_at,AGTR1
D13897_rna2_at,PYY
D13900_at,ECHS1
D13969_at,PCGF2
D13988_at,GDI2
D14043_at,CD164
D14134_at,RAD51
D14446_at,FGL1
D14497_at,MAP3K8
D14520_at,KLF5
D14530_at,RPS23P8///RPS23
D14533_at,XPA
D14657_at,KIAA0101
D14658_at,SPCS2
D14659_at,EMC2
D14660_at,MRPL19
D14661_at,WTAP
D14662_at,PRDX6
D14663_at,PSMD6
D14664_at,CD302
D14678_at,KIFC1
D14686_at,AMT
D14689_at,NUP214
D14694_at,PTDSS1
D14695_at,HERPUD1
D14710_at,ATP5A1
D14811_at,MAD2L1BP
D14812_at,MORF4L2
D14822_at,RUNX1T1
D14823_at,RUNX1T1
D14826_s_at,CREM
D14827_at,GLI2
D14838_at,FGF9
D14874_at,ADM
D14878_at,CDC123
D14889_at,RAB33A
D15049_at,PTPRH
D15050_at,SIK1
D15057_at,DAD1
D16105_at,LTK
D16181_at,PMP2
D16217_at,CAST
D16227_at,HPCAL1
D16294_at,ACAA2
D16350_at,ACSM3
D16469_at,ATP6AP1
D16480_at,HADHA
D16481_at,HADHB
D16532_at,VLDLR
