probeset,hgnc
ILMN_1343289,RPS9
ILMN_1343291,EEF1A1P5///EEF1A1///EEF1A1P6
ILMN_1343292,TUBB2A
ILMN_1343293,TXN
ILMN_1343294,ACTBP11///ACTB
ILMN_1343295,GAPDH
ILMN_1651209,SLC35E2
ILMN_1651210,DUSP22
ILMN_1651217,PDCD1LG2
ILMN_1651228,RPS28
ILMN_1651229,IPO13
ILMN_1651232,FAM86FP
ILMN_1651234,SYT14
ILMN_1651235,AFAP1
ILMN_1651236,GGTLC1///GGTLC2
ILMN_1651237,CDT1
ILMN_1651238,TRPV1
ILMN_1651253,WIPF3
ILMN_1651254,LPP
ILMN_1651259,UGP2
ILMN_1651260,CCNE2
ILMN_1651261,RSU1
ILMN_1651262,HNRNPAB
ILMN_1651268,LOH12CR1
ILMN_1651278,SNIP1
ILMN_1651282,COL17A1
ILMN_1651286,GRHL1
ILMN_1651295,SULT1C2P1
ILMN_1651296,FLT4
ILMN_1651298,RAD17
ILMN_1651303,ATP13A4
ILMN_1651309,DIAPH2-AS1
ILMN_1651310,MLLT4
ILMN_1651316,CD69
ILMN_1651330,KCNG4
ILMN_1651336,MLYCD
ILMN_1651339,UHRF1BP1L
ILMN_1651343,ITGA11
ILMN_1651346,TICAM2///TMED7-TICAM2
ILMN_1651349,CD86
ILMN_1651351,FAM230A
ILMN_1651354,SPP1
ILMN_1651358,HBE1
ILMN_1651364,PCBD2
ILMN_1651370,USP21
ILMN_1651373,RHD
ILMN_1651375,BICD2
ILMN_1651378,AUP1
ILMN_1651385,MFN2
ILMN_1651388,SPATA31B1
ILMN_1651399,CUL5
ILMN_1651403,TRBV2
ILMN_1651404,LILRA6
ILMN_1651405,BRD9
ILMN_1651415,DERL3
ILMN_1651423,HERC2P2///HERC2P9
ILMN_1651428,SYTL2
ILMN_1651430,CTRB2
ILMN_1651433,DCK
ILMN_1651435,C15orf38
ILMN_1651436,PAIP1
ILMN_1651437,FOXI1
ILMN_1651438,ZFPM1
ILMN_1651445,LIPT1
ILMN_1651456,UTY
ILMN_1651457,GPR32
ILMN_1651461,HN1
ILMN_1651464,KDM2B
ILMN_1651470,MMP17
ILMN_1651478,MEST
ILMN_1651486,COX11P1
ILMN_1651490,CYP26A1
ILMN_1651492,WNT2B
ILMN_1651496,HIST1H2BD
ILMN_1651499,ERGIC1
ILMN_1651504,FAM193A
ILMN_1651507,PYROXD1
ILMN_1651513,SKIV2L2
ILMN_1651517,KRT8P33
ILMN_1651535,TMEM217
ILMN_1651538,NUMBL
ILMN_1651544,HDAC8
ILMN_1651547,SEMA3E
ILMN_1651554,RGS5
ILMN_1651557,KDELC2
ILMN_1651563,MYO15B
ILMN_1651565,LINC00452
ILMN_1651568,MUC13
ILMN_1651569,XRCC2
ILMN_1651574,AQP3
ILMN_1651588,KRTAP5-6
ILMN_1651597,FBXO44
ILMN_1651599,ENTPD2
ILMN_1651604,MARK4
ILMN_1651606,MAGED4B///MAGED4
ILMN_1651608,KIAA0825
ILMN_1651609,SPRED3
ILMN_1651610,SPRY1
ILMN_1651611,LDLR
ILMN_1651617,CTNNB1
ILMN_1651624,C6orf201
ILMN_1651628,EXOC6
ILMN_1651636,CYP2A13
ILMN_1651642,GPC2
ILMN_1651643,ASB11
ILMN_1651651,GOLGA6L7P
ILMN_1651652,RTN3
ILMN_1651654,XPO7
ILMN_1651657,ADAM33
ILMN_1651660,TMEM191A///TMEM191C
ILMN_1651661,SHC1P1
ILMN_1651664,SDHAP2///SDHAP1///SDHA
ILMN_1651666,LRRN4CL
ILMN_1651674,PARP6///CELF6
ILMN_1651676,ZNF142
ILMN_1651680,EEF1A1P12
ILMN_1651681,WDFY3
ILMN_1651684,KIAA0586
ILMN_1651692,STK10
ILMN_1651693,GSG1
ILMN_1651694,CHCHD2P8
ILMN_1651708,RESP18
ILMN_1651710,IQCD
ILMN_1651711,AGAP10
ILMN_1651712,RBM11
ILMN_1651715,RNF2
ILMN_1651717,ADAMTS20
ILMN_1651719,MBTPS1
ILMN_1651727,OOEP
ILMN_1651735,TGOLN2
ILMN_1651741,ARMCX3
ILMN_1651752,CXorf21
ILMN_1651763,TFDP3
ILMN_1651767,MKL1
ILMN_1651769,ZFYVE16
ILMN_1651771,RRAGB
ILMN_1651776,FHOD1
ILMN_1651787,MSH5
ILMN_1651788,MAP3K11
ILMN_1651789,VCX3A///VCX///VCX2///VCX3B
ILMN_1651792,RORC
ILMN_1651799,SLC38A2
ILMN_1651800,GSTM4
ILMN_1651811,MICAL3
ILMN_1651817,GRIK1
ILMN_1651819,GALNT11
ILMN_1651826,BASP1
ILMN_1651828,CCT3
ILMN_1651832,EHD1
ILMN_1651838,RND1
ILMN_1651843,CHTF8
ILMN_1651846,EML6
ILMN_1651848,ITSN1
ILMN_1651849,SLC1A6
ILMN_1651850,RPS16
ILMN_1651865,KIAA1257
ILMN_1651872,UBIAD1
ILMN_1651878,EVC
ILMN_1651899,FAM153C
ILMN_1651900,KCNA4
ILMN_1651902,RASL11A
ILMN_1651916,OCLN
ILMN_1651936,SETD8
ILMN_1651938,EML6
ILMN_1651940,OR6C76
ILMN_1651942,CDC25B
ILMN_1651943,ANK3
ILMN_1651944,CTNND1
ILMN_1651949,SCYL3
ILMN_1651950,TPST1
ILMN_1651958,MGP
ILMN_1651964,ABCC5
ILMN_1651966,FGFR3
ILMN_1651967,TP53I3
ILMN_1651980,GOLGA6L1
ILMN_1651987,CCDC167
ILMN_1652000,FAM156B///FAM156A
ILMN_1652003,DNAJC25///DNAJC25-GNG10///GNG10
ILMN_1652006,SMC1A
ILMN_1652008,KNSTRN
ILMN_1652014,TGM7
ILMN_1652017,PPEF1
ILMN_1652022,DHX57
ILMN_1652023,AGFG2
ILMN_1652024,CSNK1G3
ILMN_1652027,GABBR1
ILMN_1652032,QKI
ILMN_1652037,UPP2
ILMN_1652040,KCTD2
ILMN_1652045,C1orf147
ILMN_1652056,TTN
ILMN_1652065,KCNMB1
ILMN_1652066,SNED1
ILMN_1652073,RPS23P8///RPS23
ILMN_1652082,ELF4
ILMN_1652085,MPHOSPH10
ILMN_1652088,PAPOLB
ILMN_1652104,KRAS
ILMN_1652110,DDX11
ILMN_1652120,ZNF302
ILMN_1652128,LMBRD1
ILMN_1652137,PPYR1
ILMN_1652143,E2F3
ILMN_1652144,GALNT16
ILMN_1652147,MRPL43
ILMN_1652151,TJP2
ILMN_1652160,LRBA
ILMN_1652161,PNKD
ILMN_1652162,DBIL5P2
ILMN_1652163,DVL2
ILMN_1652164,UNC93B5
ILMN_1652166,GUCY1B2
ILMN_1652170,LINC00273
ILMN_1652171,CDKN2C
ILMN_1652175,KRTAP9-8
ILMN_1652179,TPTEP1
ILMN_1652181,KIF2B
ILMN_1652188,EPG5
ILMN_1652196,CTAG1A///CTAG1B///CTAG2
ILMN_1652198,CCM2
ILMN_1652199,IGKV3D-20///IGKV3D-11///IGKV3-11///IGKV3-20
ILMN_1652207,COX4I1
ILMN_1652219,C20orf112
ILMN_1652223,WDR91
ILMN_1652232,CCDC144B
ILMN_1652237,CBR3
ILMN_1652240,STMN1
ILMN_1652243,VWA5B1
ILMN_1652244,POPDC3
ILMN_1652246,NACAD
ILMN_1652248,KIAA0895L
ILMN_1652249,PPP2R4
ILMN_1652263,CDY2B///CDY2A///CDY1B///CDY1
ILMN_1652272,KCTD2
ILMN_1652276,MAGEA3
ILMN_1652277,SECTM1
ILMN_1652280,FBXO32
ILMN_1652284,PRM3
ILMN_1652287,NOG
ILMN_1652291,EVX2
ILMN_1652300,ZNF507
ILMN_1652306,MEGF10
ILMN_1652309,TTC8
ILMN_1652314,SPAG1
ILMN_1652331,KCTD5
ILMN_1652333,FN3KRP
ILMN_1652348,C4orf50
ILMN_1652357,PDHX
ILMN_1652365,DNAH14
ILMN_1652366,NLRP7
ILMN_1652371,KIAA1324L
ILMN_1652376,IFNA4///IFNA17
ILMN_1652379,SUCLG2
ILMN_1652381,SIGLEC5///SIGLEC14
ILMN_1652389,CALML4
ILMN_1652390,GJB3
ILMN_1652394,RAB2A
ILMN_1652407,ZMYND8
ILMN_1652409,SPATA7
ILMN_1652412,PHKB
ILMN_1652413,PFKFB4///UCN2
ILMN_1652417,CBWD7///CBWD6///CBWD5///CBWD3
ILMN_1652423,RREB1
ILMN_1652424,OR1S1
ILMN_1652429,CXorf30
ILMN_1652431,CA1
ILMN_1652434,MTHFD2L
ILMN_1652439,KRTAP3-1
ILMN_1652443,NDST2///CAMK2G
ILMN_1652445,RAC1
ILMN_1652456,TMEM98
ILMN_1652459,ATAD3B
ILMN_1652461,PARD3B
ILMN_1652464,TUBA3E
ILMN_1652465,SLC26A4
ILMN_1652466,WNT3
ILMN_1652472,BRAF
ILMN_1652474,SPG21
ILMN_1652478,NOMO2///NOMO1///NOMO3
ILMN_1652486,THAP7
ILMN_1652487,RIOK1
ILMN_1652490,MANSC1
ILMN_1652494,FAM115C
ILMN_1652505,APEX2
ILMN_1652512,C2CD2
ILMN_1652521,MTMR9
ILMN_1652525,MVB12B
ILMN_1652540,RELL2
ILMN_1652549,DTNA
ILMN_1652569,AP1G1
ILMN_1652574,LRRC4B
ILMN_1652578,TSHB
ILMN_1652580,POLD1
ILMN_1652591,RNF151
ILMN_1652594,ACTR5
ILMN_1652602,C11orf35
ILMN_1652604,GGT8P///GGT1///GGT3P///GGT2
ILMN_1652609,ARHGEF28
ILMN_1652611,C1DP3///C1DP2///C1DP4
ILMN_1652631,GLIPR2
ILMN_1652638,LRRC58
ILMN_1652642,SURF6
ILMN_1652647,INPP4A
ILMN_1652650,SH3KBP1
ILMN_1652653,KIAA1683
ILMN_1652660,CCZ1B
ILMN_1652662,GRB10
ILMN_1652670,PRAMEF1///PRAMEF2///PRAMEF13///PRAMEF14
ILMN_1652674,LLGL2
ILMN_1652677,MIR1182///FAM89A
ILMN_1652679,TUBBP11
ILMN_1652686,POP4
ILMN_1652687,TMEM198B
ILMN_1652693,SHH
ILMN_1652694,FAM131B
ILMN_1652700,ELK1P1
ILMN_1652701,CCDC30
ILMN_1652715,C10orf111
ILMN_1652716,ERI1
ILMN_1652719,TMCO5A
ILMN_1652722,C14orf2
ILMN_1652727,GLT8D1
ILMN_1652729,ANK2
ILMN_1652732,HTR7
ILMN_1652734,ZNF541
ILMN_1652735,RFXAP
ILMN_1652736,RPS6KA3
ILMN_1652748,RPL18AP3///RPL18A
ILMN_1652749,ERF
ILMN_1652753,PAAF1
ILMN_1652754,ZNF428
ILMN_1652758,AGRN
ILMN_1652761,FAM230B///FAM230C
ILMN_1652762,HIC2
ILMN_1652763,C4orf52
ILMN_1652766,CASP8AP2
ILMN_1652768,RPS2P5///RPS2P55///RPS2P7
ILMN_1652774,L3MBTL3
ILMN_1652777,CDC42EP2
ILMN_1652780,TMOD2
ILMN_1652784,CDHR5
ILMN_1652787,PIK3AP1
ILMN_1652788,GDNF
ILMN_1652790,CLK1
ILMN_1652794,NEK3
ILMN_1652797,FAM174B
ILMN_1652802,SP140
ILMN_1652805,PTPN13
ILMN_1652807,HOXA3
ILMN_1652819,OPA3
ILMN_1652821,TSPYL2
ILMN_1652825,IL10RA
ILMN_1652826,LRRC17
