"column.names" "variable.regex.checks"
"GSE11237_curated_pdata.txt" TRUE TRUE
"GSE12225-GPL3676_curated_pdata.txt" TRUE TRUE
"GSE12520-GPL7199_curated_pdata.txt" TRUE TRUE
"GSE12520-GPL9336_curated_pdata.txt" TRUE TRUE
"GSE12945_curated_pdata.txt" TRUE TRUE
"GSE13067_curated_pdata.txt" TRUE TRUE
"GSE13294_curated_pdata.txt" TRUE TRUE
"GSE14095_curated_pdata.txt" TRUE TRUE
"GSE14333_curated_pdata.txt" TRUE TRUE
"GSE16125-GPL5175_curated_pdata.txt" TRUE TRUE
"GSE17536_curated_pdata.txt" TRUE TRUE
"GSE17537_curated_pdata.txt" TRUE TRUE
"GSE17538-GPL570_curated_pdata.txt" TRUE TRUE
"GSE18105_curated_pdata.txt" TRUE TRUE
"GSE2109_curated_pdata.txt" TRUE TRUE
"GSE21510_curated_pdata.txt" TRUE TRUE
"GSE21815_curated_pdata.txt" TRUE TRUE
"GSE24549-GPL5175_curated_pdata.txt" TRUE TRUE
"GSE24550-GPL5175_curated_pdata.txt" TRUE TRUE
"GSE2630_curated_pdata.txt" TRUE TRUE
"GSE26682-GPL570_curated_pdata.txt" TRUE TRUE
"GSE26682-GPL96_curated_pdata.txt" TRUE TRUE
"GSE26906_curated_pdata.txt" TRUE TRUE
"GSE27544_curated_pdata.txt" TRUE TRUE
"GSE28702_curated_pdata.txt" TRUE TRUE
"GSE3294_curated_pdata.txt" TRUE TRUE
"GSE33113_curated_pdata.txt" TRUE TRUE
"GSE39582_curated_pdata.txt" TRUE TRUE
"GSE3964_curated_pdata.txt" TRUE TRUE
"GSE4045_curated_pdata.txt" TRUE TRUE
"GSE4526_curated_pdata.txt" TRUE TRUE
"GSE45270_curated_pdata.txt" TRUE TRUE
"TCGA_curated_pdata.txt" TRUE TRUE
