Extract Name	Comment [TCGA Barcode]	Material Type	Protocol REF	Assay Name	Protocol REF	Assay Name	Protocol REF	Assay Name	Comment [NCBI SRA Experiment Accession]	Annotation REF	Protocol REF	Data Transformation Name	Derived Data File REF	Comment [Genome reference]	Comment [NCBI dbGAP Experiment Accession]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Protocol REF	Data Transformation Name	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
50d204f6-742d-4458-bf96-b39e2d692cd2	TCGA-DY-A1DE-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 consensus_mRNA	UNCID_1781241.50d204f6-742d-4458-bf96-b39e2d692cd2.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_isoforms:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 gene_expression	unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1783086.rsem.isoforms.results	yes	RSEM_isoforms	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
50d204f6-742d-4458-bf96-b39e2d692cd2	TCGA-DY-A1DE-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 consensus_mRNA	UNCID_1781241.50d204f6-742d-4458-bf96-b39e2d692cd2.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_genes:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 gene_expression	unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1783085.rsem.genes.results	yes	RSEM_genes	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
50d204f6-742d-4458-bf96-b39e2d692cd2	TCGA-DY-A1DE-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 consensus_mRNA	UNCID_1781241.50d204f6-742d-4458-bf96-b39e2d692cd2.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 gene_expression	unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1783518.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
50d204f6-742d-4458-bf96-b39e2d692cd2	TCGA-DY-A1DE-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 consensus_mRNA	UNCID_1781241.50d204f6-742d-4458-bf96-b39e2d692cd2.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:junction_quantification:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 gene_expression	unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1781307.junction_quantification.txt	yes	junction_quantification	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
50d204f6-742d-4458-bf96-b39e2d692cd2	TCGA-DY-A1DE-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 consensus_mRNA	UNCID_1781241.50d204f6-742d-4458-bf96-b39e2d692cd2.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_genes_normalized:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 gene_expression	unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1783183.rsem.genes.normalized_results	yes	RSEM_genes_normalized	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
50d204f6-742d-4458-bf96-b39e2d692cd2	TCGA-DY-A1DE-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 consensus_mRNA	UNCID_1781241.50d204f6-742d-4458-bf96-b39e2d692cd2.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_isoforms_normalized:IlluminaHiSeq_RNASeqV2:2	50d204f6-742d-4458-bf96-b39e2d692cd2 gene_expression	unc.edu.50d204f6-742d-4458-bf96-b39e2d692cd2.1783184.rsem.isoforms.normalized_results	yes	RSEM_isoforms_normalized	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
52a6f698-2bd3-410f-9245-b6811e31bc55	TCGA-DY-A1DF-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 consensus_mRNA	UNCID_1781428.52a6f698-2bd3-410f-9245-b6811e31bc55.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_isoforms:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 gene_expression	unc.edu.52a6f698-2bd3-410f-9245-b6811e31bc55.1782437.rsem.isoforms.results	yes	RSEM_isoforms	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
52a6f698-2bd3-410f-9245-b6811e31bc55	TCGA-DY-A1DF-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 consensus_mRNA	UNCID_1781428.52a6f698-2bd3-410f-9245-b6811e31bc55.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:RSEM_genes:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 gene_expression	unc.edu.52a6f698-2bd3-410f-9245-b6811e31bc55.1782436.rsem.genes.results	yes	RSEM_genes	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
52a6f698-2bd3-410f-9245-b6811e31bc55	TCGA-DY-A1DF-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 consensus_mRNA	UNCID_1781428.52a6f698-2bd3-410f-9245-b6811e31bc55.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 gene_expression	unc.edu.52a6f698-2bd3-410f-9245-b6811e31bc55.1783262.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
52a6f698-2bd3-410f-9245-b6811e31bc55	TCGA-DY-A1DF-01A-11R-A155-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 consensus_mRNA	UNCID_1781428.52a6f698-2bd3-410f-9245-b6811e31bc55.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:junction_quantification:IlluminaHiSeq_RNASeqV2:2	52a6f698-2bd3-410f-9245-b6811e31bc55 gene_expression	unc.edu.52a6f698-2bd3-410f-9245-b6811e31bc55.1781586.junction_quantification.txt	yes	junction_quantification	Level 3	unc.edu_READ.IlluminaHiSeq_RNASeqV2.Level_3.1.5.0
