"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count"
"GSM1100483","Tubular Adenoma, sample 1","GSM1100483","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap1","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100483/GSM1100483_EXT_423.CEL.gz","34549"
"GSM1100484","Tubular Adenoma, sample 2","GSM1100484","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap2","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100484/GSM1100484_EXT_424.CEL.gz","34549"
"GSM1100485","Tubular Adenoma, sample 3","GSM1100485","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap3","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100485/GSM1100485_EXT_425.CEL.gz","34549"
"GSM1100486","Tubular Adenoma, sample 4","GSM1100486","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap4","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100486/GSM1100486_EXT_426.CEL.gz","34549"
"GSM1100487","Tubular Adenoma, sample 5","GSM1100487","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap5","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100487/GSM1100487_EXT_427.CEL.gz","34549"
"GSM1100488","Tubular Adenoma, sample 6","GSM1100488","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap6","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100488/GSM1100488_EXT_428.CEL.gz","34549"
"GSM1100489","Tubular Adenoma, sample 7","GSM1100489","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","tubular adenoma","Homo sapiens","tissue: tubular adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","fap7","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100489/GSM1100489_EXT_429.CEL.gz","34549"
"GSM1100490","Serrated Adenoma, sample 1","GSM1100490","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","serrated adenoma","Homo sapiens","tissue: serrated adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","serrated 10","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100490/GSM1100490_EXT_417.CEL.gz","34549"
"GSM1100491","Serrated Adenoma, sample 2","GSM1100491","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","serrated adenoma","Homo sapiens","tissue: serrated adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","serrated 14","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100491/GSM1100491_EXT_418.CEL.gz","34549"
"GSM1100492","Serrated Adenoma, sample 3","GSM1100492","Public on Apr 14 2013","Mar 18 2013","Apr 14 2013","RNA","1","serrated adenoma","Homo sapiens","tissue: serrated adenoma","total RNA","Total RNA was isolated using Trizol (Invitrogen) and purified with RNeasy (Qiagen) according to the manufacturer's protocol.","biotin","RNA sample integrity was checked on an Agilent 2100 Bioanalyzer (Agilent Technologies). 4 µg of total RNA was used for cRNA synthesis and fragmented. Labeling was performed with the One-Cycle cDNA synthesis Kit (Affymetrix) according to the manufacturer's protocol. Sample quality was checked on a Bioanalyzer prior and after fragmentation.","9606","10 µg of labeled cRNA was hybridized to Affymetrix Human Genome U133 Plus 2.0 arrays according to the manufacturer's protocol (Affymetrix).","Arrays were scanned with a GeneChip Scanner 3000 (Affymetrix) according to the manufacturer's protocol.","serrated 15","Expression data (CEL files) were normalized with the MAS5.0 algorithm (target signal = 100) using GCOS software (Affymetrix).","GPL570","Rogier,,Versteeg","r.versteeg@amc.uva.nl","Department of Human Genetics","Academic Medical Centre, University of Amsterdam","P.O. Box 22700","Amsterdam","1100DE","Netherlands","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1100nnn/GSM1100492/GSM1100492_EXT_419.CEL.gz","34549"
